"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[W]"     ,     "rms[k]"     ,     "rms[w]"     ,  "Avg_Massflow"  ,"Avg_Massflow(inlet)","Avg_Massflow(outlet)"
          97,      -6.979786127,      -5.944597602,      -5.588787698,      -5.048967941,       -6.89809726,      -2.682312868,    -0.01306283797,        0.04363962902,        -0.05670246698
          98,      -6.986542532,      -5.954025584,      -5.596856593,      -5.021445993,      -6.898389489,      -2.680262869,    -0.01305149835,        0.04366330601,        -0.05671480437
          99,      -6.993556029,      -5.965336709,       -5.60569124,      -5.049903644,       -6.90077174,      -2.676419829,    -0.01304962973,        0.04368134272,        -0.05673097245
         100,      -6.996866091,      -5.974069197,      -5.609969818,      -5.144970803,      -6.906746524,      -2.676846582,     -0.0130555059,        0.04369562827,        -0.05675113417
         101,      -7.003200347,       -5.98623183,      -5.618281846,       -5.12829291,      -6.914966054,      -2.675154409,    -0.01306749956,        0.04370824121,        -0.05677574077
         102,      -7.006721411,      -5.995379067,      -5.622639083,      -5.208336567,       -6.92653385,      -2.678249846,     -0.0130855821,        0.04371967769,        -0.05680525979
         103,      -7.015201301,      -6.008829103,      -5.633242235,      -5.198827463,      -6.939486051,      -2.678903456,    -0.01311072701,        0.04372979008,        -0.05684051709
         104,      -7.021811174,      -6.019252356,      -5.640822909,      -5.250429348,      -6.954296378,      -2.683571139,    -0.01314547821,        0.04373679502,        -0.05688227323
         105,      -7.033543339,      -6.033678845,      -5.654498821,      -5.082748656,      -6.969308046,      -2.687508476,    -0.01319217686,        0.04373931039,        -0.05693148725
         106,      -7.045291511,      -6.046909122,      -5.667258038,      -4.912792844,      -6.983137037,       -2.69061597,    -0.01325281642,        0.04373658886,        -0.05698940528
         107,      -7.055585773,      -6.057540497,      -5.678229002,      -4.880231555,      -6.996268167,      -2.698334945,    -0.01332822804,        0.04372855126,        -0.05705677929
         108,      -7.070807499,       -6.07307913,      -5.696104426,      -4.966653125,      -7.004813094,      -2.696160177,    -0.01341853764,         0.0437173857,        -0.05713592334
         109,       -7.07466116,      -6.076716414,      -5.698231071,      -5.049734877,      -7.013038778,      -2.708822881,    -0.01352177013,        0.04370489197,         -0.0572266621
         110,      -7.089665832,      -6.093372232,      -5.716183122,      -5.033876047,      -7.017276356,      -2.709755288,    -0.01363689862,        0.04369402761,        -0.05733092623
         111,       -7.09371148,      -6.100084111,      -5.719176662,       -5.13687819,      -7.022246281,      -2.724689511,    -0.01376083384,        0.04368646297,        -0.05744729681
         112,      -7.107468005,       -6.11898672,      -5.736299704,      -5.075350661,      -7.024947039,       -2.72946497,    -0.01389344218,        0.04368308345,        -0.05757652562
         113,      -7.109775251,      -6.127522304,      -5.737948321,      -5.210507886,      -7.029048165,      -2.745418717,    -0.01403278863,        0.04368301548,        -0.05771580412
         114,      -7.120867469,      -6.146824631,      -5.752578429,      -5.076302547,      -7.032523003,       -2.75598203,    -0.01417896334,        0.04368495934,        -0.05786392268
