"Eddy_Viscosity","Omega","Points:0","Points:1","Points:2","Pressure","Turb_Kin_Energy","Velocity:0","Velocity:1","Velocity:2"
0.0016052,226.93,-0.0091331,0.025739,-0.104,23.625,0.33784,0.026392,0.0044472,9.6805
0.0016406,229.62,-0.010794,0.025739,-0.104,23.642,0.34578,0.025771,0.0050175,9.632
0.0016773,232.78,-0.012454,0.025739,-0.104,23.658,0.35446,0.02508,0.0055464,9.577
0.0017134,236.46,-0.014115,0.025739,-0.104,23.674,0.36371,0.024326,0.0060274,9.5159
0.0017465,240.76,-0.015775,0.025739,-0.104,23.689,0.37336,0.023518,0.0064557,9.4489
0.0017743,245.83,-0.017436,0.025739,-0.104,23.704,0.38328,0.022664,0.0068268,9.3762
0.0017945,251.85,-0.019096,0.025739,-0.104,23.718,0.39336,0.021771,0.0071391,9.2979
0.0018045,259.07,-0.020757,0.025739,-0.104,23.732,0.40352,0.020848,0.0073927,9.2139
0.0018014,267.81,-0.022418,0.025739,-0.104,23.745,0.41369,0.019902,0.007588,9.1239
0.0017834,278.49,-0.024078,0.025739,-0.104,23.757,0.42381,0.018939,0.0077273,9.0273
0.0016849,314.5,-0.026896,0.026896,-0.104,23.774,0.44716,0.017324,0.0080946,8.77
0.0015903,342.06,-0.027938,0.027938,-0.104,23.778,0.45905,0.016759,0.0083602,8.6208
0.0014859,374.49,-0.028876,0.028876,-0.104,23.781,0.46959,0.016274,0.0086229,8.4744
0.0013766,412.29,-0.02972,0.02972,-0.104,23.784,0.47894,0.015864,0.0088901,8.3299
0.0012658,456.15,-0.030479,0.030479,-0.104,23.786,0.48724,0.015523,0.0091655,8.1866
0.0011561,506.97,-0.031163,0.031163,-0.104,23.788,0.4946,0.015245,0.0094512,8.0436
0.0010494,565.85,-0.031778,0.031778,-0.104,23.789,0.50111,0.015024,0.0097486,7.9005
0.00094711,634.15,-0.032332,0.032332,-0.104,23.79,0.50684,0.014855,0.010059,7.7565
0.00084997,713.58,-0.03283,0.03283,-0.104,23.791,0.51183,0.014735,0.010382,7.6111
0.00075853,806.27,-0.033279,0.033279,-0.104,23.792,0.5161,0.014658,0.010719,7.4636
0.00067304,914.93,-0.033682,0.033682,-0.104,23.792,0.51965,0.014623,0.011068,7.3134
0.00059358,1043,-0.034045,0.034045,-0.104,23.792,0.52247,0.014624,0.011431,7.1598
0.00052009,1195,-0.034372,0.034372,-0.104,23.793,0.5245,0.014661,0.011804,7.0018
0.0004524,1376.9,-0.034667,0.034667,-0.104,23.793,0.52566,0.014728,0.012188,6.8385
0.00039029,1596.6,-0.034931,0.034931,-0.104,23.793,0.52585,0.014823,0.012579,6.6687
0.0003335,1865,-0.03517,0.03517,-0.104,23.793,0.52488,0.01494,0.012975,6.4909
0.00028175,2197.6,-0.035384,0.035384,-0.104,23.793,0.52253,0.015075,0.013371,6.3032
0.00023478,2616.6,-0.035577,0.035577,-0.104,23.793,0.51842,0.015221,0.01376,6.1033
0.0001923,3155.3,-0.035751,0.035751,-0.104,23.793,0.51205,0.015367,0.014134,5.8876
0.00015409,3865.3,-0.035907,0.035907,-0.104,23.793,0.50261,0.0155,0.014479,5.6519
0.00011992,4830.5,-0.036048,0.036048,-0.104,23.793,0.48885,0.0156,0.014774,5.3894
8.9182e-05,6195.8,-0.036175,0.036175,-0.104,23.793,0.46848,0.015633,0.014987,5.0899
6.2022e-05,8223.5,-0.036289,0.036289,-0.104,23.793,0.43723,0.015543,0.01506,4.7364
3.9318e-05,11410,-0.036391,0.036391,-0.104,23.793,0.38751,0.015226,0.014889,4.3021
2.135e-05,16796,-0.036484,0.036484,-0.104,23.793,0.30686,0.014488,0.014276,3.7463
7.8687e-06,27140,-0.036567,0.036567,-0.104,23.793,0.18022,0.012957,0.012845,3.0043
1.0755e-06,54455,-0.036642,0.036642,-0.104,23.793,0.049425,0.010049,0.01001,2.0345
2.7855e-08,1.8696e+05,-0.036709,0.036709,-0.104,23.793,0.0043947,0.0055677,0.0055683,0.97776
0.0017708,246.24,-0.030798,0,-0.104,23.849,0.38417,0.027981,-0.00042721,9.3576
0.0018114,261.24,-0.033036,0,-0.104,23.863,0.40632,0.026207,-0.0004495,9.176
0.0017975,279.29,-0.035049,0,-0.104,23.875,0.42435,0.024515,-0.00046868,9.0057
0.0017297,301.13,-0.036861,0,-0.104,23.883,0.43954,0.022879,-0.0004845,8.8431
0.0016388,327.32,-0.038492,0,-0.104,23.89,0.45268,0.021283,-0.00050341,8.6851
0.0015349,358.33,-0.03996,0,-0.104,23.896,0.46413,0.019724,-0.00052511,8.5304
0.0014234,394.74,-0.041281,0,-0.104,23.9,0.47414,0.018205,-0.00054923,8.3777
0.0013086,437.29,-0.04247,0,-0.104,23.903,0.48289,0.016731,-0.00057543,8.2262
0.0011937,486.96,-0.04354,0,-0.104,23.905,0.49053,0.015306,-0.00060321,8.075
0.001081,544.99,-0.044503,0,-0.104,23.907,0.49715,0.013935,-0.00063199,7.9233
0.00097213,612.96,-0.04537,0,-0.104,23.908,0.50285,0.012623,-0.00066117,7.7703
0.00086825,692.88,-0.04615,0,-0.104,23.909,0.50768,0.011374,-0.0006902,7.6153
0.00077004,787.4,-0.046852,0,-0.104,23.909,0.51167,0.01019,-0.00071863,7.4572
0.00067789,899.96,-0.047484,0,-0.104,23.909,0.51483,0.0090722,-0.00074608,7.2953
0.00059199,1035.2,-0.048053,0,-0.104,23.909,0.51715,0.0080219,-0.00077229,7.1284
0.00051235,1199.3,-0.048565,0,-0.104,23.909,0.51856,0.0070385,-0.00079707,6.955
0.00043888,1401.2,-0.049025,0,-0.104,23.909,0.51896,0.0061208,-0.00082033,6.7736
0.0003714,1653.3,-0.04944,0,-0.104,23.909,0.51819,0.0052675,-0.00084204,6.5821
0.0003097,1974.2,-0.049813,0,-0.104,23.908,0.51598,0.0044765,-0.00086223,6.3776
0.00025354,2392.4,-0.050149,0,-0.104,23.908,0.51188,0.0037459,-0.000881,6.1563
0.00020268,2953.8,-0.050451,0,-0.104,23.907,0.50522,0.0030736,-0.00089852,5.9128
0.00015693,3736.2,-0.050723,0,-0.104,23.907,0.49479,0.0024579,-0.00091515,5.6393
0.00011614,4882.3,-0.050968,0,-0.104,23.907,0.4785,0.0018974,-0.00093256,5.3234
7.9541e-05,6677,-0.051188,0,-0.104,23.906,0.45173,0.0013918,-0.0009472,4.9432
4.8122e-05,9742.7,-0.051386,0,-0.104,23.906,0.40428,0.00094301,-0.00095642,4.4583
2.3418e-05,15602,-0.051565,0,-0.104,23.906,0.31436,0.00055596,-0.00095311,3.7936
5.8734e-06,29158,-0.051725,0,-0.104,23.905,0.14452,0.00025192,-0.00084761,2.8083
2.146e-07,85078,-0.05187,0,-0.104,23.905,0.015407,3.0083e-05,-0.00076931,1.4337
0.001783,279.33,-0.02591,0.024023,-0.104,23.774,0.42451,0.017814,0.0075173,9.017
0.0018027,269.33,-0.026082,0.022307,-0.104,23.779,0.41533,0.017751,0.007176,9.1024
0.0018101,261.16,-0.026253,0.020591,-0.104,23.784,0.40638,0.017764,0.0068026,9.1802
0.0018068,254.49,-0.026425,0.018875,-0.104,23.788,0.39776,0.017869,0.0063938,9.2508
0.0017955,249.04,-0.026597,0.017159,-0.104,23.793,0.38958,0.018079,0.0059474,9.3144
0.0017788,244.58,-0.026768,0.015443,-0.104,23.797,0.38197,0.018413,0.0054621,9.3711
0.001759,240.98,-0.02694,0.013727,-0.104,23.801,0.37503,0.018887,0.0049388,9.4207
0.0017379,238.1,-0.027111,0.012011,-0.104,23.804,0.36891,0.019522,0.0043798,9.4632
0.0017176,235.88,-0.027283,0.010295,-0.104,23.807,0.36372,0.020337,0.0037885,9.4984
0.0016996,234.23,-0.027455,0.0085796,-0.104,23.81,0.35957,0.021348,0.0031706,9.5262
0.0016852,233.12,-0.027626,0.0068637,-0.104,23.813,0.35653,0.022572,0.0025319,9.5465
0.0016753,232.5,-0.027798,0.0051477,-0.104,23.815,0.35465,0.024018,0.001889,9.5592
0.0016703,232.34,-0.027969,0.0034318,-0.104,23.818,0.35394,0.025704,0.0012208,9.5647
0.0016703,232.55,-0.028141,0.0017159,-0.104,23.816,0.35433,0.027563,0.00070519,9.563
1.6814e-16,7.0476e+05,-0.051929,0.0027215,-0.104,23.893,1e-10,0,0,0
1.6844e-16,7.0351e+05,-0.051715,0.0054355,-0.104,23.896,1e-10,0,0,0
1.6732e-16,7.0823e+05,-0.05136,0.0081346,-0.104,23.893,1e-10,0,0,0
1.6479e-16,7.1909e+05,-0.050864,0.010811,-0.104,23.89,1e-10,0,0,0
1.609e-16,7.365e+05,-0.050228,0.013459,-0.104,23.886,1e-10,0,0,0
1.557e-16,7.6107e+05,-0.049455,0.016069,-0.104,23.881,1e-10,0,0,0
1.4929e-16,7.9373e+05,-0.048546,0.018635,-0.104,23.875,1e-10,0,0,0
1.4178e-16,8.3578e+05,-0.047504,0.02115,-0.104,23.867,1e-10,0,0,0
1.333e-16,8.8895e+05,-0.046332,0.023608,-0.104,23.859,1e-10,0,0,0
1.2401e-16,9.5559e+05,-0.045033,0.026,-0.104,23.85,1e-10,0,0,0
1.1407e-16,1.0388e+06,-0.043611,0.028321,-0.104,23.841,1e-10,0,0,0
1.037e-16,1.1427e+06,-0.042069,0.030565,-0.104,23.83,1e-10,0,0,0
