     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[nu]"    ,  "Avg_Massflow"  ,    "Avg_Mach"    ,    "Avg_Temp"    ,    "Avg_Press"   ,   "Avg_Density"  ,  "Avg_Enthalpy"  ,  "Avg_NormalVel" ,   "Uniformity"   ,"Secondary_Strength","Momentum_Distortion","Secondary_Over_Uniformity",  "Avg_TotalTemp" , "Avg_TotalPress" ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
      -5.716660337,      -1.778096278,       -4.01235459,      -5.372326422,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,    0.002121077513,    0.001324853368,                 0,                 0,                 0,  -0.0006084457658,    0.002121077513,    0.001324853368,                 0,      0.6246133674
       -5.71268411,      -1.779255398,      -4.018046688,      -5.383062624,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,    0.002121080863,    0.001353960543,                 0,                 0,                 0,  -0.0006014263392,    0.002121080863,    0.001353960543,                 0,      0.6383351844
      -5.708820246,      -1.780476235,      -4.023458693,      -5.393824972,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,    0.002121207161,    0.001381824263,                 0,                 0,                 0,  -0.0005944882152,    0.002121207161,    0.001381824263,                 0,      0.6514329615
      -5.705068887,      -1.781757736,      -4.028564583,      -5.404619515,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,    0.002121459442,    0.001408526004,                 0,                 0,                 0,  -0.0005875923984,    0.002121459442,    0.001408526004,                 0,      0.6639419903
      -5.701465252,      -1.783097252,      -4.033549984,      -5.415450562,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,    0.002121837997,    0.001434122669,                 0,                 0,                 0,   -0.000580720248,    0.002121837997,    0.001434122669,                 0,      0.6758869768
      -5.698022787,      -1.784492482,      -4.038438829,       -5.42632437,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,    0.002122341256,    0.001458637449,                 0,                 0,                 0,  -0.0005738783772,    0.002122341256,    0.001458637449,                 0,      0.6872775266
      -5.694724253,      -1.785942481,       -4.04296346,      -5.437245565,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,    0.002122966755,    0.001482092669,                 0,                 0,                 0,  -0.0005670754263,    0.002122966755,    0.001482092669,                 0,      0.6981233529
      -5.691664859,      -1.787444519,      -4.047509419,       -5.44821822,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,    0.002123711565,    0.001504559991,                 0,                 0,                 0,  -0.0005602814818,    0.002123711565,    0.001504559991,                 0,      0.7084577849
      -5.689094965,       -1.78900541,      -4.051731336,      -5.459247481,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,    0.002124571493,    0.001526100699,                 0,                 0,                 0,  -0.0005534954739,    0.002124571493,    0.001526100699,                 0,      0.7183098824
      -5.686903475,      -1.790620625,        -4.0560713,      -5.470335566,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,    0.002125542044,    0.001546784399,                 0,                 0,                 0,  -0.0005466912403,    0.002125542044,    0.001546784399,                 0,      0.7277129159
      -5.685123766,      -1.792282916,      -4.060353202,      -5.481482877,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,    0.002126619758,    0.001566584486,                 0,                 0,                 0,  -0.0005399065603,    0.002126619758,    0.001566584486,                 0,      0.7366547216
      -5.683653107,      -1.793989668,      -4.064352353,      -5.492689881,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,    0.002127800568,    0.001585525802,                 0,                 0,                 0,  -0.0005331440131,    0.002127800568,    0.001585525802,                 0,      0.7451477481
      -5.682452538,      -1.795738677,      -4.068169082,      -5.503955761,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,    0.002129080518,    0.001603648435,                 0,                 0,                 0,  -0.0005263924061,    0.002129080518,    0.001603648435,                 0,      0.7532117368
      -5.681504301,      -1.797527974,       -4.07194487,      -5.515280075,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,    0.002130455882,    0.001620964536,                 0,                 0,                 0,  -0.0005196554671,    0.002130455882,    0.001620964536,                 0,      0.7608533694
       -5.68077553,      -1.799354884,      -4.075693802,      -5.526661172,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,    0.002131923118,    0.001637487299,                 0,                 0,                 0,   -0.000512936288,    0.002131923118,    0.001637487299,                 0,      0.7680799019
